Month,Expenses_R
2023-01-01,9790.47
2023-02-01,11246.44
2023-03-01,10239.55
2023-04-01,11150.17
2023-05-01,11024.69
2023-06-01,10278.9
2023-07-01,10635.6
2023-08-01,12435.29
2023-09-01,12459.36
2023-10-01,11905.93
2023-11-01,11012.04
2023-12-01,11756.78
2024-01-01,12135.01
2024-02-01,13935.21
2024-03-01,12110.61
2024-04-01,13273.26
2024-05-01,12096.29
2024-06-01,14369.31
2024-07-01,12973.44
2024-08-01,12395.01
2024-09-01,13218.55
2024-10-01,15480.8
2024-11-01,15387.9
2024-12-01,15914.6
2025-01-01,14977.26
2025-02-01,14202.81
2025-03-01,15775.11
2025-04-01,14172.05
2025-05-01,15242.7
2025-06-01,16506.38
2025-07-01,17139.98
2025-08-01,16538.04
2025-09-01,14962.24
2025-10-01,17911.44
2025-11-01,18109.69
2025-12-01,16001.46
